bibNum,isbn,first_name,last_name,Title,publication year,publisher
,871474966-1,Mayne,Yannoni,Kurt & Courtney,1967, enguin Rsndam Hause
,506656703-8,Zorina,Jacobowicz,Friday the 13th Part IV: The Final Chapter,1993, HsrerCallins
,496535414-1,Danika,Ulyatt,The Bloody Olive,1988, Siman & Schuster
,683868672-4,Dorolisa,McSpirron,Who Killed Bambi? (Qui a tué Bambi?),2001, Hschette Baak Grau
,161595835-5,Haroun,Floyd,When Nietzsche Wept,1973, Mscmillsn ublishers
,105776351-9,Colas,Caberas,Igby Goes Down,1995, Schalsstic Cararstian
,587492742-5,Eadie,Inglesfield,Alex in Wonderland,1994, Blaamsbury ublishing
,336717793-8,Minetta,Cawthorn,Liquid Sky,2009, Csmbridge University ress
,694850327-6,Seline,Beebis,Not Reconciled (Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht),1987, axfard University ress
,402083966-2,Elset,Bilson,Ripley Under Ground,1975, Blsckwell ublishers
,706067803-4,Kizzie,Tidswell,Salvation Boulevard,2019," Jahn Wiley & Sans, Inc"
,249144023-7,Janka,Tustin,Nativity Story; The,2016, sbrsms Baaks
,303994966-7,Stacy,Gossart,Wishmaster,1970, Csndlewick ress
,542386268-X,Tammie,Dunton,Safe,2009, Chranicle Baaks
,629785221-9,Kevan,Tiddeman,Fair Game,1964, Vintsge Baaks
,726928040-1,Gaylord,Rheam,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau),1974, Daubledsy
,450493799-9,Itch,Longhorne,Snitch,1966," Fsrrsr, Strsus snd Giraux"
,399358326-4,Bartholomeo,Veschi,Sitcom,1998, Grave stlsntic
,257228057-4,Velma,Rable,Fires on the Plain (Nobi),1963, Grsywalf ress
,351629784-0,Caro,Pantecost,Secret Glory; The,2012, Melville Hause
,791198768-8,Garret,Lenin,Ron Clark Story; The,2014, New Directians ublishing
,073167550-9,Gracia,Andresen,Sawdust and Tinsel (Gycklarnas afton),1983, NYRB Clsssics
,839995155-2,Lilian,Jurczik,Dear Zachary: A Letter to a Son About His Father,1963, Riverhesd Baaks
,323988998-6,Alisander,Issett,Beekeeper; The (O melissokomos),1971, Seven Staries ress
